Period,Value
Jan-00,463496
Feb-00,466513
Mar-00,467223
Apr-00,469884
May-00,470210
Jun-00,474316
Jul-00,475759
Aug-00,477559
Sep-00,477896
Oct-00,479716
Nov-00,482228
Dec-00,480748
Jan-01,483066
Feb-01,478318
Mar-01,473309
Apr-01,470260
May-01,465875
Jun-01,460435
Jul-01,454235
Aug-01,449964
Sep-01,444924
Oct-01,439875
Nov-01,434017
Dec-01,427353
Jan-02,424779
Feb-02,419978
Mar-02,417772
Apr-02,417082
May-02,416371
Jun-02,416818
Jul-02,417200
Aug-02,418613
Sep-02,420483
Oct-02,420280
Nov-02,419887
Dec-02,423028
Jan-03,421019
Feb-03,424506
Mar-03,422535
Apr-03,421889
May-03,420564
Jun-03,417495
Jul-03,414352
Aug-03,413035
Sep-03,410461
Oct-03,410493
Nov-03,408760
Dec-03,408302
Jan-04,407705
Feb-04,410536
Mar-04,412711
Apr-04,414863
May-04,418489
Jun-04,422643
Jul-04,426260
Aug-04,429820
Sep-04,430989
Oct-04,434813
Nov-04,439997
Dec-04,441222
Jan-05,446240
Feb-05,451361
Mar-05,455394
Apr-05,456990
May-05,457623
Jun-05,458507
Jul-05,461924
Aug-05,461964
Sep-05,463598
Oct-05,467552
Nov-05,470206
Dec-05,474639
Jan-06,479543
Feb-06,481048
Mar-06,486076
Apr-06,491322
May-06,496672
Jun-06,501897
Jul-06,506637
Aug-06,511525
Sep-06,516251
Oct-06,519748
Nov-06,522206
Dec-06,523476
Jan-07,524494
Feb-07,527703
Mar-07,529461
Apr-07,533451
May-07,538547
Jun-07,540804
Jul-07,541015
Aug-07,542345
Sep-07,548039
Oct-07,551124
Nov-07,556989
Dec-07,563043
Jan-08,568357
Feb-08,570114
Mar-08,573237
Apr-08,571883
May-08,573696
Jun-08,577427
Jul-08,578433
Aug-08,580335
Sep-08,572743
Oct-08,567064
Nov-08,560227
Dec-08,543273
Jan-09,538445
Feb-09,530391
Mar-09,523409
Apr-09,517053
May-09,513838
Jun-09,507452
Jul-09,504096
Aug-09,501500
Sep-09,498099
Oct-09,502146
Nov-09,504770
Dec-09,505025
Jan-10,505695
Feb-10,510367
Mar-10,512320
Apr-10,515075
May-10,515983
Jun-10,519456
Jul-10,523182
Aug-10,525386
Sep-10,531038
Oct-10,538163
Nov-10,545104
Dec-10,553726
Jan-11,560473
Feb-11,566076
Mar-11,573235
Apr-11,582766
May-11,589349
Jun-11,591280
Jul-11,594906
Aug-11,596862
Sep-11,595570
Oct-11,602499
Nov-11,605644
Dec-11,607035
Jan-12,609789
Feb-12,611107
Mar-12,612758
Apr-12,612611
May-12,612384
Jun-12,612210
Jul-12,615009
Aug-12,617863
Sep-12,622404
Oct-12,622363
Nov-12,623638
Dec-12,625245
Jan-13,627520
Feb-13,628167
Mar-13,628205
Apr-13,628298
May-13,625357
Jun-13,625259
Jul-13,627086
Aug-13,629278
Sep-13,630323
Oct-13,630506
Nov-13,629164
Dec-13,631955
Jan-14,634135
Feb-14,640089
Mar-14,641029
Apr-14,642486
May-14,647228
Jun-14,646940
Jul-14,647665
Aug-14,648556
Sep-14,649492
Oct-14,647425
Nov-14,647848
Dec-14,642832
Jan-15,642698
Feb-15,642901
Mar-15,643189
Apr-15,643949
May-15,644441
Jun-15,648252
Jul-15,646996
Aug-15,644749
Sep-15,641387
Oct-15,641867
Nov-15,639515
Dec-15,638229
Jan-16,634781
Feb-16,632050
Mar-16,632177
Apr-16,631493
May-16,631705
Jun-16,631496
Jul-16,632106
Aug-16,633118
Sep-16,631628
Oct-16,631901
Nov-16,634618
Dec-16,635803
Jan-17,637331
Feb-17,638437
Mar-17,637901
Apr-17,638839
May-17,638444
Jun-17,638464
Jul-17,641729
Aug-17,645135
Sep-17,649431
Oct-17,651751
Nov-17,655370
Dec-17,659025
Jan-18,660750
Feb-18,664125
Mar-18,662878
Apr-18,664666
May-18,665721
Jun-18,665684
Jul-18,672994
Aug-18,673312
Sep-18,677505
Oct-18,678620
Nov-18,678366
Dec-18,677549
Jan-19,682402
Feb-19,685827
Mar-19,687840
Apr-19,690327
May-19,691512
Jun-19,693257
Jul-19,697528
Aug-19,699411
Sep-19,701309
Oct-19,702426
Nov-19,705404
Dec-19,707662
Jan-20,706169
Feb-20,703655
Mar-20,695435
Apr-20,693520
May-20,692535
Jun-20,694705
Jul-20,692973
Aug-20,694469
Sep-20,693257
Oct-20,694226
Nov-20,700280
Dec-20,702416
Jan-21,707510
Feb-21,718230
Mar-21,723375
Apr-21,728810
May-21,739146
Jun-21,749539
Jul-21,759218
Aug-21,769145
Sep-21,780710
Oct-21,789753
Nov-21,801584
Dec-21,808491
Jan-22,815464
Feb-22,823168
Mar-22,834557
Apr-22,838712
May-22,849466
Jun-22,854137
Jul-22,855866
Aug-22,855377
Sep-22,857293
Oct-22,860299
Nov-22,858991
Dec-22,859100
Jan-23,860078
Feb-23,858759
Mar-23,851923
Apr-23,855017
May-23,852708
Jun-23,851754
Jul-23,852256
Aug-23,855172
Sep-23,856349
Oct-23,856209
Nov-23,855757
Dec-23,856182
