Period,Value
Jan-00,383759
Feb-00,385329
Mar-00,386654
Apr-00,388123
May-00,392519
Jun-00,396765
Jul-00,395542
Aug-00,400656
Sep-00,400344
Oct-00,402922
Nov-00,405482
Dec-00,405955
Jan-01,406134
Feb-01,404246
Mar-01,403708
Apr-01,403696
May-01,404615
Jun-01,403545
Jul-01,404558
Aug-01,408172
Sep-01,407615
Oct-01,396270
Nov-01,392876
Dec-01,393663
Jan-02,395867
Feb-02,397910
Mar-02,396186
Apr-02,396565
May-02,400809
Jun-02,401467
Jul-02,405284
Aug-02,404653
Sep-02,409780
Oct-02,411981
Nov-02,413852
Dec-02,415185
Jan-03,417365
Feb-03,421512
Mar-03,423156
Apr-03,424367
May-03,422112
Jun-03,422919
Jul-03,423479
Aug-03,418721
Sep-03,424317
Oct-03,427462
Nov-03,430161
Dec-03,431219
Jan-04,432076
Feb-04,435509
Mar-04,440705
Apr-04,446495
May-04,446393
Jun-04,451770
Jul-04,454032
Aug-04,457271
Sep-04,456162
Oct-04,455096
Nov-04,459431
Dec-04,460394
Jan-05,461016
Feb-05,462872
Mar-05,464979
Apr-05,465861
May-05,465988
Jun-05,463147
Jul-05,452724
Aug-05,455534
Sep-05,460270
Oct-05,461942
Nov-05,467074
Dec-05,471700
Jan-06,474302
Feb-06,473254
Mar-06,479481
Apr-06,477862
May-06,484518
Jun-06,488787
Jul-06,485766
Aug-06,487446
Sep-06,485983
Oct-06,485583
Nov-06,484834
Dec-06,486412
Jan-07,488010
Feb-07,489691
Mar-07,487268
Apr-07,489640
May-07,492929
Jun-07,496146
Jul-07,497100
Aug-07,500179
Sep-07,499246
Oct-07,500684
Nov-07,500361
Dec-07,500578
Jan-08,501733
Feb-08,502105
Mar-08,499066
Apr-08,499734
May-08,498206
Jun-08,497530
Jul-08,499771
Aug-08,497407
Sep-08,495539
Oct-08,493176
Nov-08,487230
Dec-08,476696
Jan-09,468424
Feb-09,463739
Mar-09,458128
Apr-09,452185
May-09,445384
Jun-09,439424
Jul-09,432754
Aug-09,423384
Sep-09,425128
Oct-09,427967
Nov-09,429697
Dec-09,428414
Jan-10,429929
Feb-10,432450
Mar-10,434020
Apr-10,434933
May-10,436384
Jun-10,440493
Jul-10,443855
Aug-10,448194
Sep-10,451513
Oct-10,452531
Nov-10,453130
Dec-10,453387
Jan-11,455056
Feb-11,453813
Mar-11,458617
Apr-11,460157
May-11,461721
Jun-11,461416
Jul-11,461620
Aug-11,465318
Sep-11,464942
Oct-11,467457
Nov-11,470235
Dec-11,471243
Jan-12,473817
Feb-12,478352
Mar-12,481381
Apr-12,485685
May-12,489863
Jun-12,492831
Jul-12,497431
Aug-12,499064
Sep-12,501766
Oct-12,503058
Nov-12,503235
Dec-12,507188
Jan-13,512957
Feb-13,515617
Mar-13,514716
Apr-13,516483
May-13,518675
Jun-13,521377
Jul-13,522858
Aug-13,525057
Sep-13,530299
Oct-13,534341
Nov-13,541396
Dec-13,544846
Jan-14,545127
Feb-14,545168
Mar-14,547063
Apr-14,547845
May-14,550030
Jun-14,552156
Jul-14,556358
Aug-14,557377
Sep-14,557049
Oct-14,559050
Nov-14,559635
Dec-14,561265
Jan-15,560541
Feb-15,562990
Mar-15,563583
Apr-15,568004
May-15,568806
Jun-15,571520
Jul-15,574226
Aug-15,577851
Sep-15,583418
Oct-15,586260
Nov-15,587448
Dec-15,587627
Jan-16,591024
Feb-16,592930
Mar-16,597650
Apr-16,598239
May-16,600922
Jun-16,602008
Jul-16,603401
Aug-16,603753
Sep-16,606461
Oct-16,606334
Nov-16,610761
Dec-16,610018
Jan-17,612967
Feb-17,613632
Mar-17,616281
Apr-17,616059
May-17,617232
Jun-17,620724
Jul-17,621419
Aug-17,624657
Sep-17,620184
Oct-17,620892
Nov-17,622686
Dec-17,625639
Jan-18,626871
Feb-18,628508
Mar-18,627139
Apr-18,630247
May-18,631939
Jun-18,634220
Jul-18,636304
Aug-18,640325
Sep-18,642696
Oct-18,647267
Nov-18,645138
Dec-18,653345
Jan-19,657117
Feb-19,657229
Mar-19,656427
Apr-19,657681
May-19,659012
Jun-19,658975
Jul-19,661839
Aug-19,661011
Sep-19,661244
Oct-19,663029
Nov-19,659258
Dec-19,655336
Jan-20,655169
Feb-20,651722
Mar-20,658030
Apr-20,632901
May-20,594457
Jun-20,576890
Jul-20,583033
Aug-20,589258
Sep-20,599499
Oct-20,610228
Nov-20,616251
Dec-20,623463
Jan-21,626751
Feb-21,625942
Mar-21,615567
Apr-21,608975
May-21,604984
Jun-21,604091
Jul-21,613910
Aug-21,614418
Sep-21,616586
Oct-21,622996
Nov-21,635873
Dec-21,663693
Jan-22,682107
Feb-22,690948
Mar-22,707318
Apr-22,710620
May-22,720176
Jun-22,732487
Jul-22,739908
Aug-22,746521
Sep-22,743570
Oct-22,742353
Nov-22,742281
Dec-22,747278
Jan-23,750418
Feb-23,749965
Mar-23,754918
Apr-23,754685
May-23,758938
Jun-23,761976
Jul-23,761675
Aug-23,769415
Sep-23,774984
Oct-23,775813
Nov-23,773633
Dec-23,779613
