Period,Value
Jan-00,292768
Feb-00,294593
Mar-00,296789
Apr-00,299545
May-00,301245
Jun-00,303182
Jul-00,304073
Aug-00,305053
Sep-00,305223
Oct-00,307282
Nov-00,309328
Dec-00,309191
Jan-01,308745
Feb-01,309036
Mar-01,309051
Apr-01,310478
May-01,311619
Jun-01,309196
Jul-01,306252
Aug-01,305464
Sep-01,304703
Oct-01,302932
Nov-01,299419
Dec-01,297536
Jan-02,296742
Feb-02,293971
Mar-02,294235
Apr-02,293159
May-02,293545
Jun-02,294389
Jul-02,296774
Aug-02,297511
Sep-02,298695
Oct-02,298369
Nov-02,298642
Dec-02,301310
Jan-03,301205
Feb-03,302158
Mar-03,303318
Apr-03,304061
May-03,302570
Jun-03,301701
Jul-03,301870
Aug-03,301237
Sep-03,302157
Oct-03,305149
Nov-03,306187
Dec-03,308274
Jan-04,308587
Feb-04,312700
Mar-04,314684
Apr-04,314712
May-04,318279
Jun-04,320985
Jul-04,326753
Aug-04,330102
Sep-04,330046
Oct-04,335173
Nov-04,339330
Dec-04,340128
Jan-05,345246
Feb-05,347068
Mar-05,348774
Apr-05,351996
May-05,352838
Jun-05,354277
Jul-05,355552
Aug-05,357368
Sep-05,358769
Oct-05,361845
Nov-05,363476
Dec-05,367822
Jan-06,369450
Feb-06,372985
Mar-06,374722
Apr-06,379226
May-06,382161
Jun-06,385111
Jul-06,388619
Aug-06,392217
Sep-06,394224
Oct-06,396412
Nov-06,400298
Dec-06,398792
Jan-07,400079
Feb-07,401751
Mar-07,404080
Apr-07,405510
May-07,406748
Jun-07,408205
Jul-07,409097
Aug-07,410271
Sep-07,413197
Oct-07,414437
Nov-07,419306
Dec-07,424602
Jan-08,430048
Feb-08,435091
Mar-08,435780
Apr-08,442932
May-08,445473
Jun-08,451820
Jul-08,457528
Aug-08,461444
Sep-08,460429
Oct-08,453954
Nov-08,450613
Dec-08,445745
Jan-09,441044
Feb-09,432972
Mar-09,424662
Apr-09,418480
May-09,413161
Jun-09,407633
Jul-09,401667
Aug-09,396719
Sep-09,392089
Oct-09,393543
Nov-09,399584
Dec-09,398058
Jan-10,398260
Feb-10,399869
Mar-10,402348
Apr-10,403649
May-10,405484
Jun-10,407721
Jul-10,412878
Aug-10,418261
Sep-10,424355
Oct-10,432780
Nov-10,436289
Dec-10,443258
Jan-11,446874
Feb-11,452342
Mar-11,457170
Apr-11,459740
May-11,469672
Jun-11,474387
Jul-11,477864
Aug-11,479718
Sep-11,476060
Oct-11,480776
Nov-11,482025
Dec-11,488893
Jan-12,490659
Feb-12,497404
Mar-12,498988
Apr-12,502794
May-12,503629
Jun-12,506445
Jul-12,512467
Aug-12,514653
Sep-12,520461
Oct-12,519701
Nov-12,524645
Dec-12,525589
Jan-13,529886
Feb-13,528692
Mar-13,529339
Apr-13,531360
May-13,528172
Jun-13,528429
Jul-13,529863
Aug-13,534096
Sep-13,537274
Oct-13,542992
Nov-13,547599
Dec-13,550312
Jan-14,553595
Feb-14,557219
Mar-14,562290
Apr-14,567025
May-14,568271
Jun-14,570096
Jul-14,570628
Aug-14,574733
Sep-14,576171
Oct-14,579989
Nov-14,584449
Dec-14,585479
Jan-15,586276
Feb-15,589570
Mar-15,591704
Apr-15,592522
May-15,595781
Jun-15,600558
Jul-15,599456
Aug-15,600738
Sep-15,602275
Oct-15,601732
Nov-15,599386
Dec-15,596937
Jan-16,596961
Feb-16,593043
Mar-16,594220
Apr-16,599800
May-16,602045
Jun-16,601997
Jul-16,601366
Aug-16,600123
Sep-16,601927
Oct-16,603307
Nov-16,607785
Dec-16,611409
Jan-17,610992
Feb-17,612182
Mar-17,613377
Apr-17,611125
May-17,614476
Jun-17,619549
Jul-17,622548
Aug-17,626610
Sep-17,630221
Oct-17,628125
Nov-17,631673
Dec-17,632608
Jan-18,638324
Feb-18,643096
Mar-18,644681
Apr-18,644270
May-18,644392
Jun-18,644854
Jul-18,647405
Aug-18,653709
Sep-18,657978
Oct-18,662228
Nov-18,663998
Dec-18,671067
Jan-19,676839
Feb-19,679840
Mar-19,678651
Apr-19,685316
May-19,686603
Jun-19,686986
Jul-19,686770
Aug-19,686434
Sep-19,682531
Oct-19,680236
Nov-19,680239
Dec-19,679805
Jan-20,674910
Feb-20,669284
Mar-20,662390
Apr-20,661536
May-20,653680
Jun-20,645719
Jul-20,646504
Aug-20,650005
Sep-20,654499
Oct-20,662716
Nov-20,663302
Dec-20,666011
Jan-21,675474
Feb-21,681579
Mar-21,687513
Apr-21,692702
May-21,702434
Jun-21,709728
Jul-21,717643
Aug-21,726875
Sep-21,736967
Oct-21,753664
Nov-21,765248
Dec-21,785340
Jan-22,796786
Feb-22,819127
Mar-22,839309
Apr-22,859103
May-22,878251
Jun-22,892510
Jul-22,897756
Aug-22,909447
Sep-22,912319
Oct-22,917839
Nov-22,923660
Dec-22,922988
Jan-23,916744
Feb-23,915265
Mar-23,915732
Apr-23,909868
May-23,906308
Jun-23,902016
Jul-23,899541
Aug-23,899169
Sep-23,899500
Oct-23,896495
Nov-23,894166
Dec-23,898541
